id,nama,jenis_node
46516378,GEDAGOGADAGIDIDU,OP
40759958,GE DIGODODOGODU,Badan
40266883,GE GUDADADUDUGI,Badan
40814373,GE DUGAGEGIDIGI,Badan
40377587,GE GIDIDIGODUDI,Badan
43946185,GEGIDOGEDAGADUGO,OP
41352220,GEGAGIGOGUGUGU ,OP
43961170,GEGIDODAGAGADI ,OP
44621828,GEGEDAGUGADUGUDU,OP
47814149,GEDIDUGAGEGAGEDO,Non NPWP
41173238,GEGAGADIGIGUGIDU,OP
40206492,GE GU DAGEDOGU,Badan
40537136,GE GOGIDIGAGIDA,Badan
40700694,GE DI  DADOGE,Badan
42109097,GEGUGA DO DODI,OP
42295016,GEGUGUDOGO GADA,OP
44003159,GEGE  GIGAGODO,OP
41179858,GEGAGADIDODUGODU,OP
41592887,GEGAGODOGUDUDUDI,OP
42959100,GEGUDOGODOGA  ,OP
41497413,GEGAGEDODIGEGAGI,OP
49138402,GEDOGAGIDUGE GU,Non NPWP
41600020,GEGADA   GU ,OP
47837220,GEDIDUGIDIGUGU ,Non NPWP
41422322,GEGAGEGUGUGIGUGU,OP
42356891,GEGUGIGODADUDOGA,OP
43312979,GEGIGIGAGUDODIDO,OP
43257070,GEGIGUGODI DI ,OP
41332962,GEGAGIGIGUDODAGU,OP
48316264,GEDUGIGADAGUDAGE,Non NPWP
41586320,GEGAGODUDAGIGU ,OP
41821717,GEGADUGUGADIGADI,OP
41831403,GEGADUGIGAGE GI,OP
41367144,GEGAGIDADIGAGEGE,OP
42341989,GEGUGIGEGADODUDO,OP
44662433,GEGEDADAGUGEGIGI,OP
44985822,GEGEDODUGODUGUGU,OP
41735524,GEGADIGIGOGOGUGE,OP
43736402,GEGIDIGIDAGE GU,OP
42273962,GEGUGUDIGIDODAGU,OP
29605107,GUDODA GOGA DI,Non NPWP
41242346,GEGAGUGEGUGIGEDA,OP
41205692,GEGAGU GODADOGU,OP
34415293,GIGEGEGAGOGUDOGI,Non NPWP
42320493,GEGUGIGU GEDOGI,OP
42340504,GEGUGIGE GO GE,OP
42731700,GEGUDIGIGADI  ,OP
41306883,GEGAGI DADUDUGI,OP
48300893,GEDUGI  DUDOGI,Non NPWP
44249999,GEGEGUGEDODODODO,OP
41660595,GEGADADA GODOGO,OP
42335706,GEGUGIGIGODI DA,OP
41395952,GEGAGIDOGODOGOGU,OP
43398790,GEGIGIDODUDIDO ,OP
41905546,GEGADO GOGOGEDA,OP
42637057,GEGUDAGIDI GODI,OP
44158485,GEGEGAGODUGEDUGO,OP
43453280,GEGIGEGOGIGUDU ,OP
44769937,GEGEDIDADODOGIDI,OP
42206219,GEGUGU DAGUGADO,OP
43434920,GEGIGEGIGEDOGU ,OP
44584511,GEGEGODUGEGOGAGA,OP
44558794,GEGEGOGODUDIDOGE,OP
42094880,GEGU DOGEDUDU ,OP
42699340,GEGUDADODOGIGE ,OP
43598633,GEGIGODODUDAGIGI,OP
44825070,GEGEDUGUGO DI ,OP
42797492,GEGUDIDODIGEDOGU,OP
42641057,GEGUDAGEGA GODI,OP
41653025,GEGADAGOGI GUGO,OP
43839939,GEGIDUGIDODOGIDO,OP
44294703,GEGEGUDOGEDI GI,OP
41671221,GEGADADIGAGUGUGA,OP
41094832,GEGA DOGEDUGIGU,OP
45142584,GEGOGAGEGUGODUGE,OP
44526960,GEGEGOGUDADODA ,OP
43384168,GEGIGIDUGEGADADU,OP
42674729,GEGUDADIGEDIGUDO,OP
44309417,GEGEGI DOGEGADI,OP
44379852,GEGEGIDIDODUGOGU,OP
44958519,GEGEDOGODUGOGADO,OP
44606876,GEGEDA DADUDIDA,OP
43788592,GEGIDIDUDUGODOGU,OP
41439922,GEGAGEGIDODOGUGU,OP
44544018,GEGEGOGEGE GADU,OP
43593523,GEGIGODOGIGOGUGI,OP
44361862,GEGEGIDAGADUDAGU,OP
43724401,GEGIDIGUGEGE GA,OP
43112985,GEGIGAGAGUDODUGO,OP
44260205,GEGEGUDA GU GO,OP
42211000,GEGUGUGAGA   ,OP
42162939,GEGUGADAGUDOGIDO,OP
41047329,GEGA GEDIGIGUDO,OP
44050062,GEGE GO  DAGU,OP
43820342,GEGIDUGU GIGEGU,OP
42550676,GEGUGOGO DADIDA,OP
40741926,GE DIGEGADOGUDA,Badan
40791612,GE DIDOGADAGAGU,Badan
40509058,GE GO DO GODU,Badan
39813258,GIDODUGAGIGUGODU,Badan
43110033,GEGIGAGA  GIGI,OP
42109719,GEGUGA DODIGADO,OP
44390636,GEGEGIDO DAGIDA,OP
45242989,GEGOGUGEGUDODUDO,OP
42140293,GEGUGAGE GUDOGI,OP
43950639,GEGIDOGO DAGIDO,OP
42921031,GEGUDOGUGA GIGA,OP
42239121,GEGUGUGIDOGAGUGA,OP
44558239,GEGEGOGODUGUGIDO,OP
42792423,GEGUDIDOGUGEGUGI,OP
41362981,GEGAGIDAGUDODUGA,OP
42239758,GEGUGUGIDODIGODU,OP
47955551,GEDIDOGOGOGOGOGA,Non NPWP
48222437,GEDUGUGUGUGEGIDI,Non NPWP
47732952,GEDIDIGIGUDOGOGU,Non NPWP
49147181,GEDOGAGEDIGADUGA,Non NPWP
48779213,GEDUDIDIDOGUGAGI,Non NPWP
44232937,GEGEGUGIGUDOGIDI,OP
44165222,GEGEGADAGOGUGUGU,OP
44149627,GEGEGAGEDODAGUDI,OP
44267242,GEGEGUDADIGUGEGU,OP
