rel_id,sumber,target,persentase,nilai,dividen,jenis_relasi
74975643,44027751,39571165,50.0,72500000000.0,0.0,KEPEMILIKAN_SAHAM
74028304,39571165,40937573,20.0,5000000000.0,0.0,KEPEMILIKAN_SAHAM
75121972,44027751,39851582,50.0,11731200000.0,0.0,KEPEMILIKAN_SAHAM
75127929,44027751,39667126,49.849,115200000000.0,0.0,KEPEMILIKAN_SAHAM
75138245,44027751,40283627,40.0,3000000000.0,0.0,KEPEMILIKAN_SAHAM
75149211,44027751,39880774,33.333,4500000000.0,0.0,KEPEMILIKAN_SAHAM
75452590,44027751,39589905,45.0,229500000.0,0.0,KEPEMILIKAN_SAHAM
75484714,44027751,39726160,27.451,5600000000.0,0.0,KEPEMILIKAN_SAHAM
75595816,44027751,39587980,11.0,22000000.0,0.0,KEPEMILIKAN_SAHAM
75647540,44735657,39587980,11.0,22000000.0,0.0,KEPEMILIKAN_SAHAM
74543184,41752445,40894231,50.0,62500000.0,0.0,KEPEMILIKAN_SAHAM
74993289,41752445,40472304,40.0,2000000000.0,0.0,KEPEMILIKAN_SAHAM
75014317,43832175,40472304,40.0,2000000000.0,0.0,KEPEMILIKAN_SAHAM
75084709,42939903,40472304,10.0,500000000.0,0.0,KEPEMILIKAN_SAHAM
74355440,43592516,40679099,50.0,60000000.0,0.0,KEPEMILIKAN_SAHAM
74377467,43592516,40434405,50.0,625000000.0,0.0,KEPEMILIKAN_SAHAM
74379669,43592516,40026014,100.0,29999999000.0,9299997000.0,KEPEMILIKAN_SAHAM
74043012,40026014,40963159,99.989,103488900000.0,0.0,KEPEMILIKAN_SAHAM
74435133,42665137,40026014,0.0,1000.0,3000.0,KEPEMILIKAN_SAHAM
74376016,43592516,40302397,69.0,6969000000.0,0.0,KEPEMILIKAN_SAHAM
74537595,42665137,40302397,31.0,3131000000.0,0.0,KEPEMILIKAN_SAHAM
74383983,43592516,39788264,7.143,50000000.0,0.0,KEPEMILIKAN_SAHAM
74806810,43435288,39788264,7.143,50000000.0,0.0,KEPEMILIKAN_SAHAM
74442377,43592516,40198770,56.333,592441616000.0,0.0,KEPEMILIKAN_SAHAM
74447914,43592516,40061499,63.333,146300000000.0,0.0,KEPEMILIKAN_SAHAM
74788572,43592516,40619502,0.333,200000.0,0.0,KEPEMILIKAN_SAHAM
74796953,43592516,40975756,40.0,146073645900.0,0.0,KEPEMILIKAN_SAHAM
74825534,43592516,40132897,24.271,68018100000.0,0.0,KEPEMILIKAN_SAHAM
74879749,42665137,40132897,1.338,3750000000.0,0.0,KEPEMILIKAN_SAHAM
74915158,43592516,40976545,25.0,25000000.0,0.0,KEPEMILIKAN_SAHAM
74900330,42665137,40976545,25.0,25000000.0,0.0,KEPEMILIKAN_SAHAM
75257378,43592516,40191195,41.0,41000000000.0,0.0,KEPEMILIKAN_SAHAM
75345601,43592516,40392614,22.863,45725650000.0,0.0,KEPEMILIKAN_SAHAM
75337092,42665137,40392614,1.25,2500000000.0,0.0,KEPEMILIKAN_SAHAM
75348638,43592516,40167246,6.049,70440000000.0,0.0,KEPEMILIKAN_SAHAM
74071885,39576885,40167246,7.067,82302180500.0,0.0,KEPEMILIKAN_SAHAM
75366101,43592516,40480319,8.333,1000000000.0,833000000.0,KEPEMILIKAN_SAHAM
75447497,45005675,39555290,2.0,11000000.0,0.0,KEPEMILIKAN_SAHAM
75427254,45005675,40424963,41.0,17220000000.0,0.0,KEPEMILIKAN_SAHAM
75413175,45005675,40362385,85.45,18500000000.0,0.0,KEPEMILIKAN_SAHAM
75613676,42854379,40362385,0.462,100000000.0,0.0,KEPEMILIKAN_SAHAM
75375568,45005675,39563496,30.0,1500000000.0,0.0,KEPEMILIKAN_SAHAM
75048238,45005675,39518983,27.5,1375000000.0,0.0,KEPEMILIKAN_SAHAM
74614573,45005675,39815014,35.0,1750000000.0,0.0,KEPEMILIKAN_SAHAM
74612610,45005675,40893019,10.0,2500000000.0,0.0,KEPEMILIKAN_SAHAM
73978103,39861323,40893019,60.88,15220000000.0,0.0,KEPEMILIKAN_SAHAM
74523058,45005675,40590873,20.0,1000000000.0,0.0,KEPEMILIKAN_SAHAM
74443215,43186796,40590873,7.5,375000000.0,0.0,KEPEMILIKAN_SAHAM
74745755,42854379,40590873,5.0,250000000.0,0.0,KEPEMILIKAN_SAHAM
74517357,45005675,40227775,4.071,814200000.0,0.0,KEPEMILIKAN_SAHAM
74048115,40227775,40985230,33.333,100000000.0,10000000000.0,KEPEMILIKAN_SAHAM
74507392,45005675,40350227,6.918,345900000.0,0.0,KEPEMILIKAN_SAHAM
74508341,45005675,40184372,24.0,840000000.0,0.0,KEPEMILIKAN_SAHAM
74506008,45005675,40100038,33.922,20091270000.0,0.0,KEPEMILIKAN_SAHAM
74061323,40100038,40609489,36.0,47664000000.0,0.0,KEPEMILIKAN_SAHAM
74029485,39549929,39658466,99.964,5498000000.0,0.0,KEPEMILIKAN_SAHAM
73985987,39658466,40273297,99.8,499000000.0,0.0,KEPEMILIKAN_SAHAM
75478475,44559843,39658466,0.036,2000000.0,0.0,KEPEMILIKAN_SAHAM
75476380,44559843,40533869,12.5,125000000.0,0.0,KEPEMILIKAN_SAHAM
75452062,44559843,40899210,20.009,2949380000.0,0.0,KEPEMILIKAN_SAHAM
73986457,40899210,39644866,7.493,4050000000.0,0.0,KEPEMILIKAN_SAHAM
75559277,43829289,40899210,22.895,3374680000.0,0.0,KEPEMILIKAN_SAHAM
74924389,44559843,39549929,99.952,24988000000.0,0.0,KEPEMILIKAN_SAHAM
74478243,44559843,40273297,0.2,1000000.0,0.0,KEPEMILIKAN_SAHAM
74781074,42434292,40240538,18.0,36000000.0,0.0,KEPEMILIKAN_SAHAM
73982413,40331811,39837631,99.0,594000000.0,0.0,KEPEMILIKAN_SAHAM
74060124,40594895,40331811,99.0,594000000.0,0.0,KEPEMILIKAN_SAHAM
74011771,40672568,40126157,12.5,6250000000.0,0.0,KEPEMILIKAN_SAHAM
74011442,40672568,40415890,12.5,10000000.0,0.0,KEPEMILIKAN_SAHAM
